"","name","ticker","date"
"895","AS Green Cube Innovations","agci","2020-08-28T20:55:00.122+02:00"
"896","Jacktel AS","JACKT","2020-08-28T16:56:00.191+02:00"
"897","Boa Offshore AS","BOAO","2020-08-28T14:31:00Z"
"898","BOA OCV AS","BOA","2020-08-28T14:31:00Z"
"899","Altera Shuttle Tankers LLC","AST","2020-08-28T14:30:00Z"
"900","Vardar AS","VARD","2020-08-28T15:26:34.134+02:00"
"901","Songa Container AS","SCT","2020-08-28T14:21:29.765+02:00"
"902","Ringerikskraft AS","RNGK","2020-08-28T12:00:00Z"
"903","Havyard Group ASA","HYARD","2020-08-28T13:55:29.174+02:00"
"904","Havyard Group ASA","HYARD","2020-08-28T13:55:29.06+02:00"
"905","BNP Paribas Leasing Solutions AS","LANDKF","2020-08-28T12:44:02.043+02:00"
"906","DigiPlex Norway Holding 2 AS","DPNH","2020-08-28T10:00:00Z"
"907","Bluewater Holding B.V.","BLH","2020-08-28T11:57:55.93+02:00"
"908","Baltic Sea Properties AS","BALT-ME","2020-08-28T11:43:56.981+02:00"
"909","DNO North Sea plc","FAPE","2020-08-28T11:18:38.393+02:00"
"910","Småkraft AS","SMAKR","2020-08-28T10:58:22.208+02:00"
"911","Småkraft AS","SMAKR","2020-08-28T10:58:22.171+02:00"
"912","Ice Fish Farm AS","IFISH-ME","2020-08-28T09:44:36.862+02:00"
"913","Mime Petroleum AS","MIME","2020-08-28T08:51:52.781+02:00"
"914","Mime Petroleum AS","MIME","2020-08-28T08:51:18.805+02:00"
"915","Glitre Energi AS","GLITRE","2020-08-28T08:33:06.906+02:00"
"916","Hafnia Limited","HAFNIA","2020-08-28T08:30:51.715+02:00"
"917","Northern Ocean Ltd.","NOL","2020-08-28T06:30:00Z"
"918","Northern Drilling Ltd.","NODL","2020-08-28T06:30:00Z"
"919","Gyldendal ASA","GYL","2020-08-28T06:30:00Z"
"920","Posten Norge AS","POSTEN","2020-08-28T06:30:00Z"
"921","Posten Norge AS","POSTEN","2020-08-28T06:30:00Z"
"922","Borr Drilling Limited","BDRILL","2020-08-28T08:00:15.734+02:00"
"923","Hofseth BioCare ASA","HBC","2020-08-28T08:00:03.606+02:00"
"924","Atlantic Sapphire ASA","ASA","2020-08-28T06:00:00Z"
"925","Aega ASA","AEGA","2020-08-28T06:00:00Z"
"926","Tensio AS","TEN","2020-08-28T06:00:00Z"
"927","Arribatec Solutions ASA","ARR","2020-08-28T06:00:00Z"
"928","Vistin Pharma ASA","VISTIN","2020-08-28T07:30:02.952+02:00"
"929","AWILCO LNG ASA","ALNG","2020-08-28T05:30:00Z"
"930","Akershus Energi AS","NYSK","2020-08-28T07:23:46.742+02:00"
"931","Insr Insurance Group ASA","INSR","2020-08-28T07:00:22.635+02:00"
"932","TrønderEnergi AS","TROEN","2020-08-28T05:00:00Z"
"933","Norwegian Air Shuttle ASA","NAS","2020-08-28T05:00:00Z"
"934","ADS Crude Carriers Plc","ADSC-ME","2020-08-28T04:55:00Z"
"935","Teekay LNG Partners L.P.","TKLNG","2020-08-28T03:16:41.853+02:00"
"936","Teekay LNG Partners L.P.","TKLNG","2020-08-28T03:12:18.778+02:00"
"937","RomReal Ltd.","ROM","2020-08-27T21:00:02.564+02:00"
"938","ML 33 Holding AS","ML33H","2020-08-27T19:15:11.472+02:00"
"939","ML 33 Holding AS","ML33H","2020-08-27T19:15:11.425+02:00"
"940","Havyard Group ASA","HYARD","2020-08-27T17:36:09.169+02:00"
"941","Havyard Group ASA","HYARD","2020-08-27T17:36:09.152+02:00"
"942","Explorer II AS","EXPLO","2020-08-27T17:24:55.846+02:00"
"943","Petrolia SE","PSE","2020-08-27T16:57:34.343+02:00"
"944","Tafjord Kraft AS","TAK","2020-08-27T16:48:05.109+02:00"
"945","Storm Real Estate ASA","STORM","2020-08-27T14:35:00Z"
"946","Storm Real Estate ASA","STORM","2020-08-27T14:35:00Z"
"947","Ziton A/S","ZITON","2020-08-27T13:45:00Z"
"948","BKK AS","BKK","2020-08-27T14:46:52.72+02:00"
"949","Grong Sparebank","GRONG-ME","2020-08-27T14:25:53.648+02:00"
"950","Frontline Ltd.","FRO","2020-08-27T14:04:29.475+02:00"
"951","Lyse AS","LYSE","2020-08-27T13:48:34.165+02:00"
"952","Byggma ASA","BMA","2020-08-27T12:20:41.387+02:00"
"953","Ekornes QM Holding AS","EKO","2020-08-27T12:01:03.117+02:00"
"954","NorgesGruppen ASA","NORG","2020-08-27T11:27:35.144+02:00"
"955","Tulip Oil Netherlands Offshore B.V","TUON","2020-08-27T11:05:00.313+02:00"
"956","Oceanteam ASA","OTS","2020-08-27T10:13:46.291+02:00"
"957","Zwipe AS","ZWIPE-ME","2020-08-27T09:40:24.665+02:00"
"958","Ice Group Scandinavia Holdings AS","IGSH","2020-08-27T08:40:29.735+02:00"
"959","East Renewable AB","EARE","2020-08-27T08:33:42.987+02:00"
"960","East Renewable AB","EARE","2020-08-27T08:33:25.661+02:00"
"961","Endúr ASA","ENDUR","2020-08-27T08:26:52.703+02:00"
"962","Endúr ASA","ENDUR","2020-08-27T08:26:52.626+02:00"
"963","BW LPG Limited","BWLPG","2020-08-27T08:03:02.262+02:00"
"964","Odfjell Drilling Ltd","ODL","2020-08-27T08:00:39.665+02:00"
"965","Zwipe AS","ZWIPE-ME","2020-08-27T08:00:26.851+02:00"
"966","Odfjell Drilling Ltd","ODL","2020-08-27T08:00:05.934+02:00"
"967","Quantafuel ASA","QFUEL-ME","2020-08-27T06:00:00Z"
"968","Siem Offshore Inc.","SIOFF","2020-08-27T07:53:32.925+02:00"
"969","Frontline Ltd.","FRO","2020-08-27T07:30:32.285+02:00"
"970","Panoro Energy ASA","PEN","2020-08-27T07:30:27.049+02:00"
"971","Panoro Energy ASA","PEN","2020-08-27T07:30:26.924+02:00"
"972","Hunter Group ASA","HUNT","2020-08-27T07:30:11.827+02:00"
"973","BW Offshore Limited","BWO","2020-08-27T07:30:05.512+02:00"
"974","Nordic Nanovector ASA","NANO","2020-08-27T07:01:13.059+02:00"
