"","date","title","pageviews","pageviews_mobile","xl","read_time","read_time_total","sentences_count","subject","url","word_count"
"1987",2019-12-04,"Det brenner i en russisk tråler som ligger til kai i Båtsfjord i Finnmark",8980,5300,0,34,192158,21,"Finnmark;Brann","https://www.nrk.no/tromsogfinnmark/det-brenner-i-en-russisk-traler-som-ligger-til-kai-i-batsfjord-i-finnmark-1.14807643",242
"1988",2019-12-04,"Hotelleier stenger ute lokalavis og tidligere ansatte etter kritisk artikler om Rondablikk",69334,40520,0,64,2660303,40,"Rondablikk høyfjellshotell","https://www.nrk.no/innlandet/hotelleier-stenger-ute-lokalavis-og-tidligere-ansatte-etter-kritisk-artikler-om-rondablikk-1.14802217",581
"1989",2019-12-04,"Dødeligheten av hjerteinfarkt nesten halvert på ti år",805,524,0,40,24064,21,"Helse;Norge","https://www.nrk.no/norge/dodeligheten-av-hjerteinfarkt-nesten-halvert-pa-ti-ar-1.14807662",302
"1990",2019-12-04,"Nye biler med selvovervåking gir utfordringer på Ørland flystasjon",90731,57497,0,57,2997718,52,"Norge;Trøndelag;Forsvaret;Teknologi og data;Bil og motor;Ørland hovedflystasjon","https://www.nrk.no/trondelag/nye-biler-med-selvovervaking-gir-utfordringer-pa-orland-flystasjon-1.14792462",559
"1991",2019-12-04,"Hunder lever lenger enn før fordi de opereres og blir behandlet som et familiemedlem",5506,3906,0,59,194182,37,"Dyrehelse;NRK Buskerud;Kjæledyr;Menneskets beste venn ;Norge","https://www.nrk.no/osloogviken/hunder-lever-lenger-enn-for-fordi-de-opereres-og-blir-behandlet-som-et-familiemedlem-1.14798132",452
"1992",2019-12-04,"Regjeringa får refs frå sine eigne for politihøgskule-kutt",11550,6316,0,48,355979,33,"Politi og kriminalitet;Politikk;Politikk og samfunn;Norge;Høyre-Venstre-KrF-regjeringen","https://www.nrk.no/norge/regjeringa-far-refs-fra-sine-eigne-for-politihogskule-kutt-1.14807097",562
"1993",2019-12-04,"Stor økning i antall selvmord. Ber menn være mer åpne om at de sliter med livet",90668,76884,1,146,4443320,175,"Psykisk helse;Selvmord","https://www.nrk.no/rogaland/xl/stor-okning-i-antall-selvmord.-ber-menn-vaere-mer-apne-om-at-de-sliter-med-livet-1.14568790",1421
"1994",2019-12-04,"Polfarerne har hatt trøbbel i natt: – Vi går som to fulle menn",138840,79400,0,81,7055547,51,"Troms;Børge Ousland og Mike Horns ekspedisjon i Arktis;Svalbard;Norge","https://www.nrk.no/tromsogfinnmark/polfarerne-har-hatt-trobbel-i-natt_-_-vi-gar-som-to-fulle-menn-1.14807719",618
"1995",2019-12-04,"Får ikke sitte sammen med sønnen med cerebral parese. Hver reise blir en kamp med Pasientreiser",24170,16669,0,60,890628,30,"Finnmark;Pasienttransport;Helse;Norge","https://www.nrk.no/tromsogfinnmark/far-ikke-sitte-sammen-med-sonnen-med-cerebral-parese.-hver-reise-blir-en-kamp-med-pasientreiser-1.14801287",378
"1996",2019-12-04,"Henta med luftambulanse etter traktorulukke",54167,34819,0,38,1234754,37,"Krim og hendingar i Sogn og Fjordane","https://www.nrk.no/vestland/henta-med-luftambulanse-etter-traktorulukke-1.14807964",411
